id,username,followers, following, location
1890579144,crmdess21,221,344,
346863874,GabiiAquino15,887,734,San lorenzo - Paraguay
205319905,panducute69,781,576,
552943856,SandraVeera,2437,1181,Coronel Oviedo - Paraguay
188934880,alaanarce,1208,918,
2176527730,Diegoasd66,326,828,
1932855968,analaumeaurio,579,290,
1855075190,tobiaszelada,318,1764,
433675994,belenchunchu,739,2213,
1355298852,Cristialde,103,225,
2150118384,nestorOnblock,260,639,Cnel.Oviedo - Py ツ 
1977121519,RugbyCraco,275,684,
596990366,fatimendoza2,1272,1297,Villarrica-Paraguay
827449740,COVoluntariado,653,1295,Coronel Oviedo, Paraguay
174011807,woneja_,351,296,
1926821292,maguiii_zarate,837,461,
166759043,danidadani_5,305,377,Florianópolis, Brasil
405780217,aleportillopy,1389,1009,Here, there and everywhere...
1898427312,CaaguazuLee,921,1802,Coronel Oviedo - Paraguay
414048128,AleeSanchez_12,245,212,Ciudad del este -  Paraguay 
419660024,lFeerMartinez,253,254,Ciudad del Este-Paraguay 
1045879352,AnaliaPortillo3,193,205,
1601633276,vane_yrigoitia,370,448,
1834602908,agustina_babu,591,1686,country club Parana
169939451,Vfrancis89,726,741,
595990371,AraaVillalba,809,847,Asuncion, Paraguay
193889083,MarieJara,1616,1422,,
550264541,verito_pani,1780,1419,Villarrica-paraguay
342677523,belenza94,646,958,
524454206,daavazquez92,527,322,,
1694785052,604Nikolas,223,881,
1561910083,giszarza,1693,1202,Coronel Oviedo - Paraguay
551316664,Samudio_Ivan,810,801,
1676812963,yessiikamar,678,294,coronel oviedo - Paraguay 
973971937,MarkJimenez12,160,209,
243649594,KaGavilan,1139,499,Paraguay - Cuidad del Este
1624373324,mavialde91,339,461,cnel oviedo -Paraguay
179741383,rodriacostaa,269,301,coronel oviedo 
1215252882,Joxxe99,551,1295,
1390172804,aguilera_isaias,152,192,
120157469,ruthcanhete,901,817,Coronel Oviedo-Py.
189969066,SolaetxeDal,918,781,Coronel Oviedo - Paraguay
427637898,TuitUtil,344203,55762,España
534591184,FatimaAnalii,1088,795,Coronel Oviedo, Paraguay
1119794726,vivicabral951,2528,2216,Asunción - Pa
572522083,_CuidaTuPlaneta,105025,57656,Tierra
525567149,DayRomn,1873,1192,Argentina
1042376431,NicoliMendess,4342,2719,Paraguay 
594993472,Pamelaeraa,2581,1235,Villarrica
857012557,Karenortelladoo,427,316,Villarrica, Paraguay
367274334,PameMorel,1120,698,villarrica paraguay 
992244043,KarencitaB17,1348,1079,pilar-paraguay
1016545812,mercadobelen1,1192,936,Villarrica - Paraguay 
447429139,eduarditotello,165,153,
377699803,LizRociio,190,239,Coronel Oviedo - Py
1614179630,goobalpy,104,433,
842771550,MagaaCardenas,665,405,Cnel. Oviedo - Paraguay
1561243778,MiriScavone,216,228,
169690821,diaguero,404,1230,paraguay
365724565,StefiCarisi,1016,431,EN UNA CAJA
895319106,deniisfa,3258,2881,Villarrica_Paraguay
352691024,davicho_soal,326,1717,Coronel Oviedo Paraguay
449422343,moransteefany,1320,1138,Lambare , Paraguay
367296977,Karinanoemii,1218,1009,
774587696,darah_benitez,1065,516,
358226328,NoeGvln94,1405,589,Cde 
1515886975,EmiAguilar1,263,670,
407040167,Domicde,2030,2087,♡España♡
379391959,carolencii,950,540,Paraguay
108914607,ulisesbenitez90,705,385,Coronel Oviedo - Paraguay
474037422,gude_asoya,769,802,Curuguaty- Canindeyu- Paraguay
507449297,Ojedacolman,326,248,Nueva Londres _ Paraguay
1379728520,mercegayozo_05,361,176,Paraguay
1383519769,samugamarra16,142,718,ñemby py
635009768,carlosmacoritto,425,318,Coronel Oviedo
584748158,AngieHermidaa,14017,7178,Valencia-España
1544489072,ClariAveiro,1073,595,Coronel Oviedo - Paraguay
286692932,JoseMaldonado2,123,304,
316070211,LiEscobar18,438,298,
1546864830,oviedo_cool,122,208,
1545760093,OviedoInpace,120,151,Coronel - Oviedo
1544790272,popularesoviedo,219,325,Oviedo
614417789,Adriianaescobar,1138,635,Asuncion, Paraguay
565861739,JesikaOlmedo,334,324,
607489666,PattyPeraltaa,1896,1032,asuncion , zebαllos cue
849728832,Solee_Cardenas,382,447,Coronel Oviedo- Paraguay
1525775538,En_paNhales,113,581,C. OVIEDO
1464730370,Sergiooowill,185,360,
614641862,DuarteGiis,863,896,Coronel Oviedo - Paraguay
954568291,zeetma,3316,4511,
551542853,rakkito,102,502,
1499017567,elsi_baez,427,1023,
1360057334,Almiron07,700,1158,Capiata
1493658949,vaneyrigoitia,195,232,
220833344,gabybenittez,1838,552,Amambay, Paraguay
56202670,rodneyzorrilla,1675,1575,Coronel Oviedo
287371485,jessenihh,1152,484,Asuncion-PARAGUAY
350911532,DalmiGodoy,11037,4996,
417625318,insuarez1,877,364,
1116513637,plagueonaaa,1737,2185,Asuncion 
635071023,LizSantacruz2,696,663,
292503712,KariGarciia,2748,899,Coronel Oviedo - Paraguay
286844226,terebarrios93,593,867,coronel oviedo
